words,count
nwe,19
chili,14
worth,27
frozen,123
nfor,8
enjoy,10
bacon,15
nthe,56
kids,7
items,7
golden,8
brought,6
total,7
recommend,10
tell,7
excellent,12
times,19
amazing,29
fudge,7
wrong,6
las,25
combination,6
bread,6
meat,11
potatoes,11
crunchy,7
meal,13
mean,6
waffle,6
god,7
little,15
free,13
ate,13
days,7
wasn,13
service,45
top,18
girls,8
seated,16
mini,7
palace,23
mind,7
mint,8
regular,12
mouth,6
nachos,17
don,34
dog,16
definitely,51
enjoyed,11
toast,7
busy,14
menu,42
rich,8
plate,7
bar,18
bad,6
grilled,7
told,8
decided,19
rings,7
tasted,6
beef,11
life,6
tastes,6
split,15
butter,6
left,8
yes,18
vip,9
night,20
people,31
super,24
oreo,22
dinner,9
afternoon,6
happy,11
portions,22
inside,20
check,10
topped,16
nthis,9
time,74
oreos,10
ice,46
yummy,17
finally,11
vegas,123
minute,8
cool,7
leave,6
quick,10
drinks,10
shared,14
french,15
wait,66
love,33
visit,14
creamy,13
chocolate,183
soup,7
crazy,6
awesome,14
heard,11
pink,8
sundae,54
sunday,9
nyc,8
spot,9
birthday,9
remember,10
maybe,11
nour,7
cute,14
shake,6
cold,9
thank,11
hot,186
window,17
lunch,15
half,8
name,7
looking,9
couldn,12
waiter,15
waited,12
cheese,30
yourself,7
size,14
bite,8
friend,18
boyfriend,21
breakfast,19
sat,9
cheesecake,9
price,7
especially,6
hungry,7
tooth,8
morning,8
review,11
outside,27
whipped,22
comes,10
attentive,9
coffee,12
frrrozen,12
pay,6
bowl,7
trip,17
finish,14
totally,9
omelette,7
noverall,6
money,7
real,9
mom,7
world,7
disappointed,6
server,12
served,12
seating,9
nmy,14
favorite,16
weekend,10
lot,12
omelet,12
potato,12
strawberry,7
taste,14
describe,7
deep,10
tasty,13
cream,67
saturday,8
wife,9
original,9
dish,7
fan,9
list,7
past,9
burger,22
opted,6
experience,18
amount,7
glad,6
hour,7
share,17
huge,46
sandwich,29
tried,13
coming,9
egg,7
patio,9
caesars,8
actually,7
late,6
sauce,12
food,100
foot,6
easily,8
found,8
delicious,42
guy,6
feel,7
kobe,6
wonderful,6
banana,6
hotel,10
believe,6
double,7
caesar,19
added,8
eaten,6
pretty,23
famous,9
hype,9
visiting,6
wow,6
won,6
restaurant,43
sweet,43
crispy,10
expensive,7
flavorful,7
else,7
pricey,11
prices,11
fun,18
ready,8
sliders,12
arrived,7
person,8
tables,7
location,27
excited,9
couple,8
bit,14
absolutely,11
sundaes,9
eggs,13
eating,8
delish,7
servers,6
impressed,6
line,10
fries,34
fried,40
nice,17
reservation,11
cooked,7
fresh,14
desserts,30
friendly,13
dessert,66
try,53
waiting,10
makes,7
chocolates,6
crab,8
salad,18
serendipity,61
sit,10
located,7
stop,9
tomato,8
mojito,6
perfect,25
choose,6
front,11
day,25
strip,34
york,11
steak,19
waitress,10
perfectly,10
stars,13
exactly,8
loved,24
dishes,6
able,10
hangover,7
waffles,13
looked,11
atmosphere,9
chicken,40
staff,7
words,6
course,10
stuff,6
view,8
packed,8
otherwise,7
walk,9
table,28
drank,6
treat,12
brunch,9
party,6
drink,19
liked,7
onion,10
candy,7
didn,28
home,9
shavings,7
sister,8
swear,6
toppings,8
eat,36
cake,20
minutes,25
chance,7
friends,17
portion,15
