words,count
monte,6
nwe,7
worth,31
hilarious,11
tickets,53
enjoy,15
nthe,45
blue,153
lights,17
told,8
kids,30
fantastic,8
highly,12
music,75
recommend,20
type,7
word,12
entertained,10
amazing,23
las,15
band,15
bright,6
poncho,16
nif,10
little,26
starts,6
isn,7
loud,16
wasn,11
top,7
seated,6
mind,10
seen,44
don,47
crowd,6
definitely,21
entertaining,29
saying,6
participate,6
enjoyed,12
watch,17
bad,9
lots,6
speak,6
bathroom,6
played,6
couple,8
hand,6
nit,8
kept,7
musical,6
unique,9
night,12
deal,6
people,23
discount,8
super,10
call,6
head,7
inside,6
trip,8
humor,15
nthis,15
time,67
row,26
zone,8
vegas,81
blast,6
cool,13
level,7
brother,6
participation,19
live,19
visual,8
ponchos,12
reviews,7
crazy,7
awesome,32
heard,9
dinner,6
guys,18
maybe,8
marshmallows,6
didn,21
rock,11
looking,13
waited,6
yourself,13
twinkies,6
sat,6
note,6
online,6
performance,23
theatre,7
price,14
paid,9
skits,6
husband,8
seat,15
review,7
bmg,7
visually,6
totally,8
theater,19
money,11
spectacular,6
audience,70
laughing,12
seating,8
provided,6
drums,7
favorite,9
act,11
instruments,8
strip,11
lol,6
lot,17
complete,6
trying,7
pull,6
toilet,16
describe,7
girlfriend,6
sitting,7
ticket,16
section,12
experience,28
pick,6
family,11
splash,7
glad,9
acts,6
playing,9
paper,27
actually,6
late,10
nafter,6
found,6
hard,9
expect,13
expecting,6
feel,9
cirque,10
paint,21
hotel,8
interactive,9
play,9
performances,6
clean,6
pretty,12
hit,6
performers,6
art,15
pvc,8
close,9
pictures,15
wow,11
won,14
liked,6
simple,7
throughout,7
else,12
look,6
fun,57
funny,39
moment,6
person,12
strobe,6
love,24
bit,20
absolutely,12
seeing,19
nso,6
rows,15
line,7
ago,14
outside,7
entire,12
carlo,6
pipes,8
involved,8
makes,7
balls,9
meet,6
comedy,11
stop,8
sit,9
perfect,7
front,16
day,8
entertainment,10
completely,9
interaction,8
times,16
start,8
percussion,8
stars,9
loved,29
able,10
lucky,6
words,8
stuff,12
nthere,10
bought,7
spoil,7
admit,7
walk,7
laugh,12
watched,8
center,9
english,6
seats,35
wet,8
stage,37
getting,8
buy,7
venetian,21
minutes,11
penny,6
beats,6
incredible,6
friends,10
