words,count
nwe,14
sorry,6
worth,18
tickets,43
venue,14
enjoy,13
phones,23
nthe,21
lights,10
told,64
kicked,10
hundreds,6
credit,9
explained,7
brought,8
guests,10
total,9
music,28
recommend,13
tell,24
phone,24
bartender,12
vodka,10
admission,8
wrong,12
las,8
rooftop,10
eventually,8
break,6
bank,6
willing,6
luck,8
saturday,6
nif,7
free,27
isn,9
arrived,12
onto,7
wasn,30
service,76
top,12
girls,46
kept,13
zero,6
matter,11
palace,10
mine,6
spent,8
talking,11
seen,9
entry,17
don,90
definitely,15
saying,21
overpriced,16
random,7
chandelier,10
finally,17
wearing,9
watch,14
bar,20
bad,30
decided,27
cattle,8
situation,7
capacity,18
wtf,7
amazing,11
pre,7
expected,9
life,9
drugs,6
worker,8
weren,15
complaint,7
hand,9
flops,6
left,35
yes,7
night,85
security,109
crowd,18
people,164
clubs,25
super,19
dollars,8
ppl,6
stuck,7
head,7
inside,32
sale,7
trip,10
shit,15
floor,61
tip,7
weekend,9
glass,6
nthis,6
time,93
push,7
dance,71
manager,15
charge,11
vegas,73
cool,9
level,6
die,6
leave,34
guy,19
cost,6
drinks,50
goes,7
water,30
grabbed,6
wait,31
love,7
fake,8
angry,6
iphone,7
entrance,13
club,246
reviews,9
wallet,8
arrive,7
heart,8
crazy,7
allowed,8
stole,6
pure,9
huge,7
spot,8
birthday,13
guys,38
maybe,8
pulled,8
talk,9
shoes,13
main,20
happened,16
half,17
name,17
didn,65
hakkasan,12
chainsmokers,8
happen,6
morning,6
space,17
looking,9
seriously,8
correct,9
card,17
care,22
couldn,40
waited,22
little,8
checked,8
white,6
friend,33
dudes,6
ridiculous,16
boyfriend,21
unfortunately,8
fucking,8
price,7
paid,31
especially,6
walking,16
ground,6
closed,8
stupid,6
ruined,7
review,8
outside,20
restroom,7
disappointment,6
comes,9
jeans,6
cash,6
purse,12
pay,38
check,24
stepped,8
harris,32
bottle,71
rest,13
thinking,6
real,10
disappointed,11
legal,6
exit,19
decent,8
business,9
nmy,7
stand,17
act,6
mean,8
ladies,6
strip,9
happening,6
start,7
lot,10
trying,22
poor,6
chris,8
lack,7
sound,6
bouncers,33
worst,42
awful,7
ticket,24
list,38
nand,8
unprofessional,6
hours,27
experience,47
pick,10
family,6
vip,30
door,30
basically,7
hour,21
sucks,6
guards,19
beautiful,10
pushed,20
dress,14
tried,31
rude,53
coming,22
short,8
crowded,38
shady,8
playing,9
help,6
attitude,10
paper,6
hell,12
caesars,9
actually,18
late,6
wouldn,18
foot,8
easily,7
found,16
upstairs,12
hard,16
idea,6
expect,8
alcohol,8
ass,6
drink,31
friday,7
reason,18
terrible,17
major,6
feel,13
feet,6
guest,34
hotel,19
believe,9
stairs,7
treated,23
dancing,7
caesar,8
play,6
experienced,7
extremely,15
cover,7
fine,9
pretty,12
money,46
circle,6
hit,6
gotten,8
hype,9
set,11
please,15
probably,11
sold,7
pissed,6
barely,6
whatever,7
expensive,10
change,6
fire,18
else,31
understand,12
prices,6
stolen,26
look,11
straight,11
bill,6
fun,25
anymore,6
moving,8
bouncer,17
obviously,12
person,17
spend,11
immediately,8
letting,13
tables,16
ridiculously,8
marquee,9
absolutely,18
refused,11
crap,8
seeing,7
visit,8
line,107
called,21
doesn,12
nice,17
walked,14
code,11
edm,9
telling,13
entire,11
try,11
power,10
paying,14
waiting,24
pushing,14
calvin,37
leaving,15
shoved,8
standing,15
started,15
fuck,6
women,7
customer,18
control,7
instead,9
establishment,7
stop,7
hazard,10
light,10
sit,13
lines,20
honestly,6
move,31
bunch,7
hands,6
front,19
doing,9
completely,20
times,14
management,7
system,7
stars,15
bother,8
tonight,7
apparently,11
able,12
unless,21
bring,6
staff,51
won,13
hope,7
means,7
words,6
course,7
stuff,6
flip,6
packed,31
horrible,22
bought,12
job,8
police,9
joke,6
taking,8
shoving,6
walk,28
table,80
treat,10
waste,26
promoter,17
bucks,6
party,31
promoters,9
overcrowded,14
drunk,12
day,13
kick,7
lost,14
literally,22
avoid,9
host,7
sister,6
getting,32
nightclub,18
own,6
guard,14
female,7
omnia,106
buy,17
signed,9
minutes,33
girl,23
worse,7
dressed,7
star,14
stay,7
chance,6
priced,8
friends,55
yelp,7
