date,star1,star2,star3,star4,star5
2017-01,0,2,3,14,21
2016-07,1,1,3,14,29
2016-06,1,2,4,16,22
2016-05,0,1,7,16,30
2016-04,1,8,3,23,32
2016-10,3,0,3,10,25
2016-11,0,2,5,13,26
2016-12,0,2,6,12,23
2016-09,0,4,0,8,25
2016-08,1,1,3,15,29
