date,star1,star2,star3,star4,star5
2016-11,0,0,0,0,1
2016-07,2,2,9,9,10
2016-06,3,4,4,6,10
2016-05,7,9,8,9,11
2016-04,2,12,4,2,2
2016-03,8,3,5,4,1
2016-02,4,2,2,4,7
2016-01,9,4,15,18,13
2015-11,4,6,10,5,15
2016-10,0,0,0,0,1
2015-12,2,4,3,8,4
2016-09,8,1,2,3,6
2016-08,2,2,4,4,13
