date,star1,star2,star3,star4,star5
2016-12,1,0,1,1,6
2017-01,0,0,2,0,4
2016-07,0,0,0,8,13
2016-06,0,0,1,4,2
2016-05,0,0,0,0,4
2016-04,2,0,0,5,4
2016-03,4,4,1,8,10
2016-02,1,1,6,7,11
2016-01,3,6,3,9,8
2016-10,1,0,1,1,13
2016-08,5,1,2,7,10
2015-12,1,1,2,1,4
2016-09,0,0,2,4,7
2016-11,2,0,0,6,3
